n_cluster	dim	hashtags
-1	917	miamibeach,boston,luxurygifts,followthebuyers,luxurylife,mixandmatch,inspiring,umbria,shoppingonline,summertime,beige,summervibes,longweekend,amsterdam,trends,heaven,boutiqueshopping,seainspired,fabric,bronze
0	370	indianocean,innerpeace,spring,grey,sunsetlovers,romantic,halloween,blessings,bathroom,sun,cocktail,stripes,cheers,foodporn,gorgeous,doyoutravel,coast,saturdaynight,thursday,aroundtheworld
1	23	sydney,keychain,australia,streetstyle,bali,fashiondaily,mochila,manila,moscow,seoul,berlin,fashionaddict,streetstyleluxe,stylediaries,fashiondiaries,munich,santamonica,instablogger,itbag,philippines,verao2017,wayuubag,medellin
2	39	turquoise,earrings,necklace,jewellery,accessories,pendant,bracelets,silver,gift,sparkle,gold,jewelry,ring,shop,diamond,jewelrydesigner,goldplated,dressedup,bridal,shoppingaddict,rings,diamonds,antique,losangeles,hollywood,bride,shoppingtime,beverlyhills,bracelet,jewelrydesign,jewelryoftheday,evileye,armcandy,boutiques,promo,platinum,engagementring,instajewelry,antoniakarra
3	16	positano,amalficoast,capri,ravello,amalfi,sorrento,sorrentocoast,costieraamalfitana,costiera,praiano,atrani,maiori,salerno,amalfitana,villatreville,casaangelina
4	28	lifestyleblogger,orangecounty,livemusic,followers,instacool,bestoftheday,pictureoftheday,california,palmsprings,cars,yachts,desert,instafun,newportbeach,bestofthebest,classiccars,lasvegas,sonomacounty,searanch,monterey,lovethisguy,visualmerchandising,californiacoast,palmdesert,carshow,caliliving,bestofday,carsofinstagram
5	12	handbag,clutch,purse,bag,handbags,newstyle,women,trend,catwalk,fashionshow,influencer,instabag
6	13	photoshoot,photography,fashionshoot,lovemyjob,photo,photographer,l4l,instafollow,photograph,iphone7,producers,photomafia,producer
7	10	bedtime,sleeptight,buonanotte,buenasnoches,bonnenuit,gutenacht,sweetdreams,nightynight,goodnightworld,iyigeceler
8	7	wool,modern,fairtrade,rug,moderndesign,designlife,telaviv
9	94	interiorinspo,interiors,homedesign,interiorinspiration,decora,homedecor,blueandwhite,gardendesign,tablesetting,interior,interiorstyle,interiordetails,interiordesigner,homestyling,beautyguru,decor,interiorsinspo,interiordecor,bedroomdecor,decoration,tableware,vogueitalia,voguemagazine,vogueparis,antiques,pillows,tablescape,tabletop,interiorstyling,styleinspiration,elledecor,beautylover,homestyle,interiorismo,interiores,interiorideas,interiordecorator,interiordesigners,decoracao,decoracion,diningroomdecor,gardenflowers,decorative,harpersbazaar,beautygram,beautytips,decorate,bedroomdesign,homeinspo,homeinspiration,vogueaustralia,voguebrasil,housebeautiful,decorationideas,vogueusa,vogueuk,homeinterior,decorideas,blueandwhiteforever,topiary,styletips,curtains,decorativepillows,traditionalhome,styleicon,decorator,countrystyle,gardenstyle,tabledecor,diningroom,interiordesigns,interiorstylist,decoratingideas,decorated,decoraci,decorating,blueandwhitedecor,homedecoration,decorations,tablescapes,gardendecor,decorando,decorinspo,lampshades,hellomagazine,interiorsdesign,fashioninspo,homeideas,lampshade,decorazioni,decorazione,lamps,beautyaddict,styleaddict
10	18	europa,fashionstylist,voyage,traveling,palace,travelphotography,argentina,aloha,tiamo,eurotrip,europe,seattle,parisjetaime,pnw,italiana,washington,abroad,viaje
11	10	fa,myhome,instahome,mystyle,instadecor,decorhome,designdeinteriores,designerdeinteriores,byme,mesaposta
12	23	amore,toscana,yoga,cake,bridge,goodlife,firenze,italiansdoitbetter,instadesign,malibu,primavera,vegan,meditation,traveldiary,yogajournal,yogaretreat,yogaeveryday,fiesole,mindfulness,expatlife,expat,yogaeverywhere,yourflorence
13	9	boutiquehotel,designhotel,luxuryhotel,soho,kitkemp,thewhitbyhotel,designhotels,firmdalehotels,deluxehotel
14	24	liguria,sicily,luxurytravel,beautifulhotels,villa,portofino,islands,privatetour,travelitaly,travelinstyle,taormina,belmondpostcards,travelandleisure,condenast,veneto,vip,bespoketravel,forbes,italianluxury,southernitaly,italianalluretravel,privatetours,viptravel,robbreport
15	19	in,international,luxuryhomes,luxuryhome,luxurylifestylemagazine,luxuryrealestate,villas,waterfront,realestate,luxuryproperties,realtor,listing,luxuryproperty,investment,overseas,propertydevelopment,investing,investor,aplaceinthesun
16	21	socialmedia,digital,branding,development,digitalmarketing,strategy,ecommerce,analytics,brand,influence,pr,socialmediamarketing,marketing,connecting,reputation,networking,loyalty,awareness,google,advertising,ambition
17	11	mensstyle,preppy,suit,mensfashion,menswear,menstyle,dapper,gentleman,menwithclass,sprezzatura,dandy
18	8	visitgreece,luxuryresort,crete,luxuryhotels,hotels,boutiquehotels,hotellife,costanavarino
19	8	picture,outdoor,composition,capture,foto,moment,pugliagram,instapuglia
20	12	travelersnotebook,master,mytinyatlas,wanderer,travelworld,earthpix,igersperu,travelwithme,sonnenuntergang,passportready,ragazza,travel365
